phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
4137275000,18572,"[PL 436642003] Behçet's syndrome by WU, 2019, earliest event",,436642003,436642,literature,
4137275000,18140,[PL 436642004] Behcet's syndrome custom concept (includes arthropathy) incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (436642) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",436642004,436642,design diagnostics,
4137275000,17685,[PL 440740001] Takayasu's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (440740) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",440740001,440740,referent,
4137275000,17684,[PL 440740002] Takayasu's disease referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (440740) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",440740002,440740,referent,
4137275000,18655,[PL 4101602001] Henoch-Schönlein purpura referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4101602) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4101602001,4101602,referent,
4137275000,18654,[PL 4101602002] Henoch-Schönlein purpura referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4101602) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4101602002,4101602,referent,
4137275000,18509,"[PL 4101602003] Henoch-Schönlein purpura by Lei, 2018.  First diagnosis of Henoch-Schönlein purpura (Allergic purpura)",,4101602003,4101602,literature,
4137275000,18577,"[PL 4101602004] Hosptalized Henoch-Schonlein purpura by Yagnik, 2019",,4101602004,4101602,literature,
4137275000,17705,[PL 4137275001] Vasculitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4137275) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4137275001,4137275,referent,
4137275000,17704,[PL 4137275002] Vasculitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4137275) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4137275002,4137275,referent,
4137275000,18505,"[PL 4137275003] Vasculitis by Bernatsky, First diagnosis of Polyarteritis nodosa and allied conditions with > 2 diagnosis or 1 claim by a rheumatologist",,4137275003,4137275,,
4137275000,18711,[PL 4182711001] Vasculitis of the skin referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4182711) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4182711001,4182711,referent,
4137275000,18710,[PL 4182711002] Vasculitis of the skin referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4182711) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4182711002,4182711,referent,
4137275000,17687,[PL 4290976001] Temporal arteritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4290976) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4290976001,4290976,referent,
4137275000,17686,[PL 4290976002] Temporal arteritis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4290976) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4290976002,4290976,referent,
4137275000,11651,[PL 4290976003] Giant cell arteritis at first diagnosis (no history of giant cell arteritis),Giant cell arteritis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4290976003,4290976,,
4137275000,18665,[PL 4344489001] Microscopic polyarteritis nodosa referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4344489) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4344489001,4344489,referent,
4137275000,18664,[PL 4344489002] Microscopic polyarteritis nodosa referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4344489) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4344489002,4344489,referent,
4137275000,18138,[PL 42535714001] Antineutrophil cytoplasmic antibody positive vasculitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (42535714) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",42535714001,42535714,referent,
4137275000,18621,[PL 42535714002] Antineutrophil cytoplasmic antibody positive vasculitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (42535714) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",42535714002,42535714,referent,
4137275000,11953,[PL 42535714003] Vasculitis associated with Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis,Custom cohort of persons with vasculitis associated with ANCA,42535714003,42535714,,
